key,japanese
plantedAloe1,グリーンハーブ (種)
plantedAloe1Schematic,グリーンハーブ (種)の図
plantedAloe2,グリーンハーブ (成長中)
plantedAloe3HarvestDesc,グリーンハーブ
Anti-vemonFirstAidBandageDesc,アンチベノム救急包帯。\n\nしっかりと体力を回復し、解毒治療の効果もあります。\n医師(フィジシャン)パークのレベルを上げると回復量が上がります。
"Book of Knowledge",知識の書
plantedRedHerb1,レッドハーブ (種)
plantedBlueHerb1,ブルーハーブ (種)
plantedRedHerb2,レッドハーブ (成長中)
plantedBlueHerb2,ブルーハーブ (成長中)
plantedRedHerb3Harvest,レッドハーブ
plantedBlueHerb3Harvest,ブルーハーブ
plantedRedHerb3HarvestPlayer,レッドハーブ
plantedBlueHerb3HarvestPlayer,ブルーハーブ
"Blue Herb Cream",ブルーハーブ・クリーム
"Green+Red Cream",グリーン+レッド・ハーブクリーム
"Green+Blue Herb Cream",グリーン+ブルー・ハーブクリーム
"Green+Red+Blue Cream",ミックスハーブクリーム
"Crushed Painkiller",砕いた鎮痛剤
"Red Herb",レッドハーブ・クリーム
"Blue Herb",ブルーハーブ・クリーム
Super Goggles,スーパーゴーグル
cntCashRegister,タイプライター
buffInjuryAbrasionDesc,"たんこぶやアザは最も一般的な怪我です。これらは時間の経過と共に回復しますが、グリーンハーブ、救急包帯、または救急キットで回復速度を高めることができます。\n\n体力の最大値が {cvar($abrasionHealthMaxBlockage:0.0)}低下しました。\n回復速度： {cvar(.currentHealAbrasionMultDisplay:0)}%"
buffInjuryConcussionDesc,あなたは脳震とうを起こし、すべての特性が1減少しました。\n治療するには鎮静剤か救急キットを使用してください。\n\n最大体力は{cvar(.ConcussionHealthBlockage:0.0)}低下します。
buffPerkCharismaticNatureDesc,あなたは本能を使ってサバイバルしています！
buffStatusHungry02Desc,腹ペコです。やがては餓死してしまいます。\n最大スタミナが{cvar($buffStatusHungryBlockage:0.0)}低下しました。\n\n機動力低下 10%、　スタミナ自然回復速度低下 10%。
buffStatusHungry03Desc,あなたは空腹で死にそうになっています。何か食べる物を見つけてください。\n最大スタミナは{cvar($buffStatusHungryBlockage:0.0)}低下します。\n\n機動力低下 20%、　スタミナ自然回復速度低下 20%。\n全てのアトリビュート値が1ずつ下がっています。
buffStatusThirsty02Desc,喉がカラカラです。やがては脱水症状により死んでしまいます。\n体力とスタミナの回復速度が低下しています。\n最大スタミナが{cvar($buffStatusHungryBlockage:0.0)}低下しました。\n\n機動力低下 10%。
buffStatusThirsty03Desc,脱水症状で死にそうです！何か飲み物を見つけてください！\n体力とスタミナの回復速度が低下しています。\n最大スタミナは{cvar($buffStatusThirstyBlockage:0.0)}低下しました。\n\n機動力低下 20%\n全てのアトリビュート値が1ずつ下がっています。
buffPoisonedName,毒にかかった！
buffPoisonedDesc,毒にかかってしまったため、ゆっくりと体力が失われています。\n\nブルーハーブクリームを使って解毒しましょう。
buffPoisonedTooltip,毒にかかってしまいました！
buffFatiguedDesc,あなたは疲労しているため、通常より 10% 多くのダメージを受けるようになっています。\nビタミンを使用すると治ります。\n\n最大体力が下がっています： {cvar(.WeakenedHealthBlockage:0.0)}。
buffFatiguedName,疲労
modGunMeleeBlessedMetalDesc,アンデッドのターゲットに対するベースダメージが15%増加します。
modGunSoundSuppressorSilencer,サプレッサー改造パーツ
modGunSoundSuppressorSilencerSchematic,サプレッサー改造パーツの図
modMeleeSerratedBladeDesc,100%の確率で通常攻撃時に出血デバフを付与させます。
armorClothGroupDesc,動作を若干阻害しますが、ダメージをある程度防御してくれるライトアーマーです。\n気候からは体を守ってくれません。\n\n解体すると布になります。
armorFirefightersHelmetDesc,防御力が高く、熱に対する耐性も追加されるヘルメットです。\n\n解体すると鉄になります。
armorFootballHelmetDesc,脳震盪や刺し傷に対して優れた防御力があります。またお気に入りのチームがまだ存在しているかのごとく応援することもできます。\n\n解体するとスクラップポリマーになります。
armorHeavyGroupDesc,かなり動作を阻害しますがダメージに対してかなりの防御力を誇るヘビーアーマーです。\n気候からは体を守ってくれません。\n\n解体すると鉄になります。
armorLeatherGroupDesc,動作を若干阻害しますが、ダメージをある程度防御してくれるライトアーマーです。\n気候からは体を守ってくれません。\n\n解体すると革になります。
armorMilitaryGroupDesc,動作を若干阻害しますが、ダメージをある程度防御してくれるライトアーマーです。\n気候からは体を守ってくれません。\n\n解体するとスクラップポリマーになります。
armorMilitaryStealthBootsDesc,軍用ステルスブーツはスタミナ消費量へのペナルティがなく、移動時の雑音をかき消してくれます。\n\n解体するとスクラップポリマーになります。
armorMiningHelmetDesc,良好な防御力を持つヘルメットで、通常ヘルメットライトが装着された状態で見つかります。\nFを押すと作動します。Fを長押しすると複数のアイテムを作動させることができます。\n\n解体するとスクラップポリマーになります。
armorSteelGroupDesc,かなり動作を阻害しますがダメージに対してかなりの防御力を誇るヘビーアーマーです。\n気候からは体を守ってくれません。\n\n解体すると鉄に。
resourceCropAloeLeaf,グリーンハーブ
drinkYuccaJuiceSmoothieDesc,このスムージーで灼熱の気候を耐え凌ぐことができるでしょう。
foodGumboStew,ガンボシチュー (知能(Intellect))
foodShamChowder,シャムチャウダー (忍耐(Fortitude))
foodShepardsPie,シェパーズ・パイ (強さ(Strength))
foodSpaghetti,スパゲティ (俊敏さ(AGI))
foodTunaFishGravyToast,ツナグレービートースト (知覚(Perception))
gunExplosivesT3RocketLauncherDesc,ロケット推進擲弾を発射するロケットランチャーです。
gunHandgunT1Pistol,S.T.A.R.S ハンドガン
gunHandgunT1PistolDesc,S.T.A.R.S の標準装備、　9㎜弾を使用するハンドガン。
gunHandgunT2Magnum44Desc,.44マグナムはハンドガンの王様です。最も強力で発砲音も最大です。この銃を装備してバリー・バートンのように颯爽と振舞いましょう。
gunHandgunT3DesertVultureDesc,この重拳銃は、.44マグナム弾を使用しています。\n\n解体すると機械部品になります。
gunHandgunT3SMG5Desc,9mm弾を使用するサブマシンガンです。\n\n解体すると機械部品になります。
gunMGT1AK47Desc,このいかにもワルそうなAK-47マシンガンには7.62mm弾を使用します。\n\n解体すると鉄になります。
gunMGT2TacticalARDesc,タクティカルアサルトライフルには7.62mm弾が使用されます。\n\n解体すると鉄になります。
gunMGT3M60Desc,マシンガンはやや取り回しに苦労しますが、自動連射にとても優れています。これには7.62mm弾を使用します。\n\n解体すると機械部品になります。
gunRifleT1HuntingRifleDesc,7.62mm弾を使用する普通の農夫が持つような狩猟ライフルです。\n\n解体すると鉄になります。
gunRifleT2MarksmanRifleDesc,このマークスマンライフルには7.62mm弾を使用します。命中精度を上げたいならこれしかありません。\n\n解体すると鉄になります。
